iter	Huber:delta=1.5
0	0.3246560701
1	0.2661579496
2	0.218131957
3	0.1786365083
4	0.1465683722
5	0.1205930902
6	0.09927932143
7	0.08194241463
8	0.0675660062
9	0.05615229938
10	0.04648667402
11	0.03860514953
12	0.03215820986
13	0.02692854316
14	0.0225978381
15	0.01911005823
16	0.0158215315
17	0.01342286258
18	0.01114756299
19	0.009357946571
20	0.007819317795
21	0.006729235708
22	0.00572462905
23	0.004848039427
24	0.004288350127
25	0.003676751224
26	0.003180618867
27	0.002737033103
28	0.002444830376
29	0.002189951572
30	0.00192723677
31	0.001764574878
32	0.001603181299
33	0.001470817368
34	0.001339641372
35	0.001227589301
36	0.001132414783
37	0.00107717715
38	0.001018635958
39	0.0009733207727
40	0.0009362720646
41	0.000905469925
42	0.0008426304047
43	0.0007957511069
44	0.0007644620089
45	0.0007484768864
46	0.0007156825957
47	0.0007027689162
48	0.0006793499883
49	0.0006624153804
50	0.0006456592348
51	0.000620157919
52	0.0006051577003
53	0.0005957070048
54	0.0005862699298
55	0.0005810755108
56	0.0005664130494
57	0.0005584577411
58	0.0005500051696
59	0.0005394401408
60	0.0005335785598
61	0.0005294619339
62	0.0005226698274
63	0.0005158522549
64	0.0005117955441
65	0.0005011886248
66	0.0004964490689
67	0.000492052913
68	0.0004888715446
69	0.0004859988412
70	0.0004768964668
71	0.0004730994116
72	0.0004703968539
73	0.0004682757579
74	0.00046511111
75	0.0004624372846
76	0.0004580912941
77	0.0004563041481
78	0.0004530707662
79	0.0004515531527
80	0.0004485806757
81	0.0004461009461
82	0.0004403761108
83	0.0004342967044
84	0.0004278234387
85	0.00042208654
86	0.0004190244032
87	0.0004174881804
88	0.0004140140019
89	0.0004132006127
90	0.0004116566858
91	0.0004106025016
92	0.0004082231269
93	0.0004068134437
94	0.0004058117502
95	0.0004026140209
96	0.0004001974866
97	0.0003990034279
98	0.0003972306693
99	0.0003946097154
100	0.0003921581117
101	0.0003903108094
102	0.0003874741476
103	0.0003864306591
104	0.0003847678277
105	0.0003838374889
106	0.0003824387776
107	0.0003813398776
108	0.0003801437665
109	0.0003780341775
110	0.0003772667079
111	0.0003760034523
112	0.0003754876155
113	0.0003744287168
114	0.0003732972683
115	0.0003725747285
116	0.000371192139
117	0.0003700419602
118	0.0003684681097
119	0.0003672702251
120	0.0003646403054
121	0.0003637744104
122	0.0003614832348
123	0.0003599868098
124	0.0003582326506
125	0.0003572432959
126	0.0003564318383
127	0.0003558835537
128	0.0003547684531
129	0.0003540839586
130	0.0003529426504
131	0.0003513725327
132	0.0003504484348
133	0.0003488680703
134	0.0003469546432
135	0.000345493188
136	0.0003438021841
137	0.0003425261877
138	0.0003416169425
139	0.0003401801344
140	0.0003392611398
141	0.000337826034
142	0.0003370065126
143	0.000336511443
144	0.0003349363891
145	0.0003340408102
146	0.0003333964807
147	0.0003329452987
148	0.0003313975944
149	0.0003303083951
150	0.0003293924554
151	0.0003285237218
152	0.0003274693076
153	0.0003265585434
154	0.0003255134298
155	0.0003241453289
156	0.000322811986
157	0.0003216514563
158	0.0003205614774
159	0.0003197705854
160	0.0003184742088
161	0.0003166311335
162	0.0003152221438
163	0.0003144493586
164	0.0003138006459
165	0.0003133754597
166	0.0003126879069
167	0.000311750917
168	0.0003109700726
169	0.000310314861
170	0.0003094647617
171	0.0003089552464
172	0.0003083715806
173	0.0003075298037
174	0.0003068145647
175	0.0003061223808
176	0.0003055725767
177	0.0003048675164
178	0.0003041605283
179	0.0003034539397
180	0.000303042555
181	0.0003020214143
182	0.000301438653
183	0.0003011748878
184	0.0003003106272
185	0.0002997161097
186	0.0002988148014
187	0.0002983029669
188	0.0002975107978
189	0.0002971246707
190	0.0002965255331
191	0.0002958485325
192	0.0002948884631
193	0.0002945364448
194	0.0002941732403
195	0.0002936338561
196	0.000292553078
197	0.0002917850251
198	0.0002912222754
199	0.0002896399228
200	0.000289489749
201	0.0002887634501
202	0.00028826825
203	0.0002872674739
204	0.0002865159299
205	0.0002860556333
206	0.0002855918647
207	0.0002850074509
208	0.0002844486378
209	0.0002838093393
210	0.000283350042
211	0.0002828429593
212	0.0002823993868
213	0.0002815159458
214	0.0002812025318
215	0.0002807145199
216	0.0002802989725
217	0.0002800196365
218	0.0002792974937
219	0.0002788604481
220	0.0002784331237
221	0.0002780936758
222	0.0002778296427
223	0.000277106006
224	0.0002767027126
225	0.0002758863739
226	0.0002749935937
227	0.000274473975
228	0.0002737488163
229	0.0002733064863
230	0.0002724650691
231	0.0002720154743
232	0.000271179946
233	0.0002705672116
234	0.0002703126769
235	0.0002700788922
236	0.00026960336
237	0.0002690820639
238	0.00026864317
239	0.0002677842549
240	0.0002674010226
241	0.0002670339625
242	0.0002666024455
243	0.0002661009207
244	0.0002656563282
245	0.0002652319462
246	0.0002648250345
247	0.0002641974951
248	0.0002633664836
249	0.0002627142347
250	0.0002620415926
251	0.000261474506
252	0.0002608908276
253	0.0002604330213
254	0.0002600325349
255	0.0002596463908
256	0.0002592222334
257	0.0002587472925
258	0.0002581455188
259	0.0002577233308
260	0.0002575239341
261	0.0002568052628
262	0.0002565830238
263	0.0002560988245
264	0.0002556498507
265	0.000255211611
266	0.0002545002047
267	0.000253718841
268	0.0002534689315
269	0.000253069495
270	0.0002526559565
271	0.0002523075604
272	0.0002519669495
273	0.000251454309
274	0.0002508381066
275	0.0002504163622
276	0.000249898674
277	0.0002495341977
278	0.000249355527
279	0.0002488987354
280	0.0002484251864
281	0.0002482483291
282	0.0002480098859
283	0.0002477842921
284	0.0002472313971
285	0.0002463454172
286	0.0002459132791
287	0.0002456371434
288	0.0002452143407
289	0.0002449515744
290	0.0002445722993
291	0.0002439836706
292	0.0002434718229
293	0.0002432625267
294	0.0002429135101
295	0.0002426292383
296	0.0002421087371
297	0.0002420143512
298	0.0002417263313
299	0.0002413956792
300	0.0002409529745
301	0.0002405066059
302	0.0002402287409
303	0.0002399716226
304	0.0002393209738
305	0.0002388946046
306	0.0002384086326
307	0.0002377363973
308	0.0002370684373
309	0.0002367228929
310	0.0002362550864
311	0.0002358031993
312	0.0002354942271
313	0.000235093872
314	0.000234887315
315	0.0002344954234
316	0.000234129181
317	0.0002338053737
318	0.000233327507
319	0.0002329586359
320	0.0002326486106
321	0.0002322881705
322	0.0002319832466
323	0.0002315263364
324	0.0002314455314
325	0.0002309527778
326	0.0002306929257
327	0.0002304170694
328	0.0002299135928
329	0.0002294161716
330	0.0002291923771
331	0.0002291098245
332	0.0002288154679
333	0.0002283831833
334	0.000228023834
335	0.0002276200406
336	0.0002273214769
337	0.0002270377186
338	0.000226692447
339	0.0002264645226
340	0.0002261144394
